Unnamed,Date,User,Tweet,Intention
0,2022-10-08 23:34:21+00:00,AlphasArapLagat,"Ligi ya Championship: Msimamo wa jedwali.
#KapuLaMichezo #KiswahiliNiChetu #MkallaSports #RugerInMeru #Mpesa #SkyBetChampionship #EFL @SkyBetChamp
 Dj Grauchi President Uhuru Kenyatta Femi One Mayele https://t.co/yZB2NilXvJ",0
1,2022-10-08 23:19:23+00:00,ViralCiti,"Inconvenience for the One Who Guaranteed Eve Mungai Unloaded Him After She Became Fruitful as It Arises That He is a Phony Gsu Official - He Has Been Confined at Kilimani Police
Femi One Ndindi Nyoro president uhuru kenyatta baba the 6th Rest In Peace https://t.co/Luc4RKDFd4",0
2,2022-10-08 22:59:22+00:00,AlphasArapLagat,"Ligi ya DStv Premiership: Matokeo ya mechi.
#KapuLaMichezo #KiswahiliNiChetu #MkallaSports #RugerInMeru #DstvPrem @OfficialPSL @TSGALAXYFC @Moroka_Swallows
@orlandopirates @RichardsBayFC_
Dj Grauchi President Uhuru Kenyatta Crimes https://t.co/0Y3pd4nain via @alphasaraplagat",0
3,2022-10-08 22:50:59+00:00,ViralCiti,"Here Are the Names of the Previous US President and a Very Rich Person Who Manipulated Raila Odinga in the Last Political Decision - It Was Not Chebukati or Ruto
#RugerInMeru Ndindi Nyoro president uhuru kenyatta Femi One https://t.co/YQoZ4dCAjQ",0
4,2022-10-08 22:41:10+00:00,Hailu50385858,"@TiborPNagyJr Uhuru Kenyatta is probably not paid yet by @TiborPNagyJr and company @AbiyAhmedAli, @EsayasAfeworki",0
5,2022-10-08 22:36:00+00:00,ChefMuller222,"Kenya's former president Uhuru Kenyatta, a key player in African Union-led efforts to bring peace to Ethiopia, said Friday he would be skipping negotiations expected to begin this weekend, raising doubts over whether the talks would go ahead. https://t.co/OjK9yxm9wr https://t.co/aTqlvzc5qX",0
6,2022-10-08 22:30:27+00:00,idrisshar,@CaxstonePKigata I should think Hon Mungatana was in WASH WASH BUSINESS how come a government official can be con 76M just like that and you were close Uhuru Kenyatta at the time anyway Pole sana,0
7,2022-10-08 22:29:17+00:00,ViralCiti,"My Wife And Children Have Left Me - Ex-tahidi High Entertainer Omosh Weeps For Help And Uncovers He Is Engaging Misery
Winnie Odinga Femi One president uhuru kenyatta Rest In Peace dj grauchi https://t.co/L8i0x0ROUA",0
8,2022-10-08 22:18:41+00:00,GiGi_Kir,"The AU talks was expected to be be mediated by “a troika of negotiators” including the bloc’s HoA @Oolusegun_obj and former Kenyan President Uhuru Kenyatta.
But Kenyatta announced that he will not participate. 
#TigrayUnderAttack
@antonioguterres https://t.co/Pd1MZCFGzs @GK",0
9,2022-10-08 22:06:36+00:00,ViralCiti,"How to Unlock M-Kopa Phones Use Samsung, Nokia Without Paying
president uhuru kenyatta Femi One Winnie Odinga Rest In Peace tuju https://t.co/e30swfdUwk",0
10,2022-10-08 22:05:15+00:00,ViralCiti,"Raila Presently Uncovers Why Unfamiliar Powers Like the Us and Uk Went Against His Candidature and Upheld Ruto in the Last Political Decision - You Will Have a Hard Time Believing This!
president uhuru kenyatta Femi One Winnie Odinga Rest In Peace tuju https://t.co/cB9sgjnRf7",0
11,2022-10-08 21:28:05+00:00,b_kigo,"Stealing from his own people..

CHALLENGE:
 Name a more HATED person in Mt. Kenya right now than UHURU Kenyatta!!
HINT: sio @RailaOdinga sio CHERERA na mos def sio @b_kigo https://t.co/X0xUUqBqkj",0
12,2022-10-08 21:26:18+00:00,pitsolu,"If our beloved former president Uhuru Kenyatta is too busy for Ethiopia peace talks due to Azimio engagements then former prime minister Raila Odinga should be engaged ASAP

--Milicent Omanga

Abracadabra🪄 https://t.co/tjE1brNGtm",0
13,2022-10-08 21:18:09+00:00,MeaziPrincess,"@asli_hadsh Diplomatic reports say that the peace talks between 🇪🇹 and Tigray will be led by the AU envoy to the HoA @Oolusegun_obj and the former president of Kenya, Uhuru Kenyatta. 
#700DaysOfTigrayGenocide 
#StopBombingTigray
@WhiteHouse @VP https://t.co/FnAff7f5z3",0
14,2022-10-08 21:17:55+00:00,ojaa_proctor,They voted saying that they were taking both @RailaOdinga and @uhurukenyatta home..Now why are they forcing the same people whom they insulted to take up roles that they never requested for..fallacy,0
15,2022-10-08 21:17:52+00:00,rajwayi,"Even destruction needs a plan!

UDA people should contrate on how they want to fail this country. Otherwise they will sink even before they reach the deep end. 

I'm yet to find a paragraph where @RailaOdinga  and Uhuru Kenyatta are listed as main agenda in their manifesto.",0
16,2022-10-08 21:16:22+00:00,Moraro39403991,"@dan_nyagah So you worn what has changed , uhuru kenyatta his enjoying his retirement curtesy of your taxes.",0
17,2022-10-08 21:10:55+00:00,jango4634,@yemigua Uhuru Kenyatta his alcoholic I don’t think have ability to lead a peace talks between two in conflict after he drink will forget the chapter,0
18,2022-10-08 20:49:18+00:00,TheKaslim,Former President Uhuru Kenyatta https://t.co/rRrEIqu2ET,0
19,2022-10-08 20:48:01+00:00,farmajoh26,@Ndiindi_Nyoro Mzee Uhuru Kenyatta retired that's why hakuna Kwa ballot otherwise kama ange weza Kua hapo hange tolewa na mtu,0
20,2022-10-08 20:29:01+00:00,DrAndyE1,"""When the enemy enthusiastically embraces u,&amp; the fellow countrymen bitterly reject u,it's hard not to wonder if u're,in fact, A TRAITOR""

Be true to urself like ur father &amp; u can't be a traitor to any good cause on earth.
#UhuruKenyatta

#DisarmTPLF
#TPLFMustGo
#HandsOffEthiopia https://t.co/wR8Xu0nHTV",0
21,2022-10-08 20:20:16+00:00,dankimutai01,"What's happening to Stephen Letoo??? 😲😲😲

...
President Uhuru Kenyatta william ruto Raila Odinga wakili chebukati platinum fave Beth femi one rest in peace tamasha Eldoret #MasculinitySaturday Winnie Odinga Mpesa PayPal nuclear https://t.co/CuXhlOVyNY",0
22,2022-10-08 20:11:51+00:00,Znorther11,@TheEconomist Where are the international community when Eritrean committed #WarCrimesOnTigray for the last  &gt; 2 yrs now @EU_Commission @UhuruKenyatta @MikeHammerUSA,0
23,2022-10-08 20:11:01+00:00,dankimutai01,"Lets do this, Retweet for Kenya   Like For Uganda
#KenyaVsUganda
........

President William Ruto in Uganda Museveni Uhuru Kenyatta rest in peace Beth mzee Raila Winnie Odinga Femi one Ndindi Nyoro IEBC Chebukati tamasha Eldoret Mpesa https://t.co/BBUoNfj5Pq",0
24,2022-10-08 20:07:43+00:00,AtembaTony,"President Uhuru Kenyatta made about 120 trips in 10 years ~~1 every month
Nabii found National coffers empty but within 20 days he has made 4 foreign trips...Bottom up doing miracles
Ni God manze",0
25,2022-10-08 20:07:27+00:00,ErickOb36355468,@citizentvkenya Better this man @uhurukenyatta 👊👊 you did for 10yrs.,0
26,2022-10-08 20:02:24+00:00,WINTADG,"The AU talks was expected to be be mediated by “a troika of negotiators” including the bloc’s HoA @Oolusegun_obj and former Kenyan President Uhuru Kenyatta
But Kenyatta announced that he will not participate
#TigrayUnderAttack
@antonioguterres @WINTADG https://t.co/eFUYrpz14v",0
27,2022-10-08 19:59:34+00:00,triple967,@Kenyans if by any chance i meet uhuru Kenyatta i will tell him to ask for forgiveness to all Kenyans because he left the country with a huge debt crisis,0
28,2022-10-08 19:45:24+00:00,wesrono,"Niko hapa kwa mama mboga and its like wacha tu..guess she is a retired Slay Queen

Femi One Winnie Odinga President Uhuru Kenyatta Nuclear Rest In Peace https://t.co/LP6JEJZ179",0
29,2022-10-08 19:43:59+00:00,wesrono,"Papa Wa Roma is ready to give them in small measured and calculated doses 

Femi One President Uhuru Kenyatta Winnie Odinga Nuclear Rest In Peace https://t.co/yo7vsBXfLV",0
30,2022-10-08 19:40:27+00:00,wesrono,"A foolish man complains of his torned pockets but A wise man uses them to scratch his Balls-Unknown Elder

Femi One President Uhuru Kenyatta Winnie Odinga Nuclear Rest In Peace https://t.co/CaebyhplXU",0
31,2022-10-08 19:39:46+00:00,Teddykimany,President Ruto CBC task force put together to review  CBC curriculum that Retired President Uhuru Kenyatta introduced just know that the future of Kenya is watching together with East Africa and Africa. This photo should speak to President @WilliamsRuto @StateHouseKenya https://t.co/MnhTug88yk,0
32,2022-10-08 19:35:37+00:00,ENOCKMU85952980,"@raarls Why? Uhuru Kenyatta is just like anybody else, we do have power even than him! he has no power to lecture us on anything maybe he might be just having some  wealth than some of us but nothing else we don't even miss him no legacy left...",0
33,2022-10-08 19:32:29+00:00,ali_naka,Emerson was desperate to host African Heads of States for validation &amp; propaganda leading to 2023. He was literally stalking Uhuru Kenyatta who used the death of Mwai Kibaki not to visit. Pres Kagame is his next victim. Nothing will make him competent and he will be unemployed!,0
